Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,Critic_Score,User_Score
1621,Medal of Honor: Airborne,PlayStation 3,Shooter,Electronic Arts,0.25,0.7,0.03,0.25,1.23,2000s,75.0,7.6
1622,Kirby Tilt 'n' Tumble,Game Boy,Puzzle,Nintendo,0.29,0.17,0.75,0.02,1.23,1980s,Unknown,Unknown
1623,SpongeBob SquarePants: Battle for Bikini Bottom,Game Boy Advance,Platform,THQ,0.88,0.33,0.0,0.02,1.23,2000s,Unknown,7.3
1624,Vigilante 8,PlayStation,Racing,Activision,0.68,0.47,0.0,0.08,1.23,1990s,Unknown,Unknown
1625,Castlevania,Nintendo Entertainment System,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23,1980s,Unknown,Unknown
1626,Donkey Kong Country 2,Game Boy Advance,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23,2000s,80.0,9.1
1627,Bayonetta,PlayStation 3,Action,Sega,0.44,0.41,0.21,0.17,1.23,2000s,87.0,7.7
1628,"WarioWare, Inc.: Mega MicroGame$",Game Boy Advance,Puzzle,Nintendo,0.4,0.11,0.7,0.02,1.23,2000s,Unknown,Unknown
1629,Star Wars: Battlefront II,PlayStation Portable,Shooter,LucasArts,1.05,0.06,0.01,0.11,1.23,2000s,69.0,8.5
1630,Madden NFL 17,PlayStation 4,Sports,Electronic Arts,0.92,0.08,0.0,0.23,1.23,2010s,82.0,4.9
1631,Boom Blox,Nintendo Wii,Puzzle,Electronic Arts,0.72,0.38,0.0,0.12,1.23,2000s,85.0,8.6
1632,Fallout 4,PC,Role-Playing,Bethesda Softworks,0.5,0.63,0.0,0.1,1.23,Multi-decade,84.0,5.4
1633,The Sims 2: Castaway,Nintendo Wii,Simulation,Electronic Arts,0.45,0.64,0.0,0.14,1.23,2000s,73.0,8.2
1634,LEGO Batman 2: DC Super Heroes,PlayStation 3,Action,Warner Bros. Interactive Entertainment,0.5,0.53,0.0,0.2,1.22,2000s,81.0,7.5
1635,Naruto Shippuden: Ultimate Ninja Storm 2,PlayStation 3,Fighting,Namco Bandai Games,0.42,0.47,0.15,0.18,1.22,2000s,76.0,8.3
1636,Mario Power Tennis,GameCube,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22,2000s,80.0,8.5
1637,Intelligent Qube,PlayStation,Puzzle,Sony Computer Entertainment,0.13,0.07,1.0,0.02,1.22,1990s,Unknown,Unknown
1638,Game & Watch Gallery 2,Game Boy,Misc,Nintendo,0.76,0.3,0.12,0.04,1.22,1980s,Unknown,Unknown
1639,Game & Watch Gallery 3,Game Boy,Misc,Nintendo,0.79,0.31,0.08,0.04,1.22,1980s,Unknown,Unknown
1640,Pac-Man,Nintendo Entertainment System,Puzzle,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22,1980s,Unknown,Unknown
1641,Parfait: Chocolat Second Style,PlayStation 2,Adventure,Alchemist,0.59,0.46,0.01,0.15,1.22,2000s,Unknown,Unknown
1642,F1 2011,PlayStation 3,Racing,Codemasters,0.12,0.75,0.11,0.25,1.22,2000s,82.0,7.1
1643,Cars,PlayStation Portable,Racing,THQ,0.72,0.29,0.0,0.21,1.22,2000s,70.0,7
1644,NBA Live 99,PlayStation,Sports,Electronic Arts,1.13,0.05,0.0,0.03,1.22,1990s,Unknown,Unknown
1645,Chocobo no Fushigi Dungeon,PlayStation,Role-Playing,SquareSoft,0.0,0.0,1.14,0.08,1.22,1990s,Unknown,Unknown
1646,Golden Sun: The Lost Age,Game Boy Advance,Role-Playing,Nintendo,0.61,0.27,0.27,0.07,1.22,2000s,86.0,9.5
1647,SimCity 2000,PlayStation,Simulation,Maxis,0.68,0.46,0.0,0.08,1.22,1990s,Unknown,Unknown
1648,Max Payne,Xbox,Shooter,Take-Two Interactive,0.98,0.19,0.0,0.05,1.22,2000s,89.0,8.3
1649,WCW Mayhem,PlayStation,Fighting,Electronic Arts,0.68,0.46,0.0,0.08,1.22,1990s,Unknown,Unknown
1650,NBA 2K2,PlayStation 2,Sports,Sega,0.59,0.46,0.01,0.15,1.22,2000s,89.0,7.8
1651,NASCAR Thunder 2003,PlayStation 2,Racing,Unknown,0.6,0.46,0.0,0.16,1.22,2000s,84.0,8.7
1652,Super Street Fighter IV: 3D Edition,Nintendo 3DS,Fighting,Capcom,0.55,0.44,0.14,0.09,1.22,2010s,85.0,8.1
1653,Cars,PlayStation 2,Racing,THQ,1.01,0.04,0.0,0.16,1.21,2000s,71.0,8.4
1654,Fuzion Frenzy,Xbox,Misc,Microsoft Game Studios,0.93,0.24,0.0,0.04,1.21,2000s,70.0,6.9
1655,Call of Duty: Finest Hour,Xbox,Shooter,Activision,0.78,0.4,0.0,0.04,1.21,2000s,73.0,7.8
1656,FIFA Soccer 11,PlayStation Portable,Sports,Electronic Arts,0.13,0.7,0.01,0.37,1.21,2000s,68.0,5.4
1657,Sly Cooper and the Thievius Raccoonus,PlayStation 2,Platform,Sony Computer Entertainment,1.03,0.14,0.0,0.04,1.21,2000s,86.0,8.6
1658,LEGO Indiana Jones 2: The Adventure Continues,Nintendo DS,Action,Activision,0.66,0.43,0.0,0.12,1.21,2000s,59.0,tbd
1659,The Magical Quest starring Mickey Mouse,Super Nintendo Entertainment System,Platform,Capcom,0.66,0.17,0.35,0.03,1.21,1990s,Unknown,Unknown
1660,Dragon Quest IV: Michibikareshi Monotachi,PlayStation,Role-Playing,Enix Corporation,0.0,0.0,1.2,0.01,1.21,1990s,Unknown,Unknown
1661,Star Wars Episode 1: Jedi Power Battles,PlayStation,Action,LucasArts,0.66,0.48,0.01,0.06,1.21,1990s,Unknown,Unknown
1662,Dino Crisis 2,PlayStation,Action,Virgin Interactive,0.34,0.49,0.28,0.1,1.21,1990s,86.0,9
1663,Need for Speed Underground,GameCube,Racing,Electronic Arts,0.69,0.48,0.01,0.03,1.21,2000s,83.0,9
1664,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,Game Boy Advance,Misc,Unknown,0.87,0.32,0.0,0.02,1.21,2000s,Unknown,Unknown
1665,Test Drive 4,PlayStation,Racing,Electronic Arts,0.67,0.46,0.0,0.08,1.21,1990s,Unknown,Unknown
1666,FIFA Soccer 07,PlayStation Portable,Sports,Electronic Arts,0.24,0.65,0.0,0.32,1.21,2000s,Unknown,Unknown
1667,World Soccer Winning Eleven 9 (JP & Others sales),PlayStation Portable,Sports,Konami Digital Entertainment,0.01,0.88,0.31,0.0,1.2,2000s,Unknown,Unknown
1668,The Lord of the Rings: The Fellowship of the Ring,PlayStation 2,Action,Black Label Games,0.59,0.46,0.0,0.15,1.2,2000s,59.0,5.1
1669,LEGO Star Wars III: The Clone Wars,PlayStation 3,Action,LucasArts,0.52,0.49,0.0,0.2,1.2,2000s,76.0,7.3
1670,ATV Offroad Fury 3,PlayStation 2,Racing,SouthPeak Games,1.0,0.04,0.0,0.16,1.2,2000s,78.0,8.4
1671,Pikmin 2,GameCube,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2,2000s,90.0,9.1
1672,Just Dance 2016,Nintendo Wii,Misc,Ubisoft,0.52,0.59,0.0,0.1,1.2,2000s,Unknown,tbd
1673,Disney Sing It,Nintendo Wii,Misc,Disney Interactive Studios,0.77,0.31,0.0,0.12,1.2,2000s,Unknown,tbd
1674,Battlefield: Hardline,Xbox One,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.2,2010s,71.0,5.1
1675,WWE 2K16,PlayStation 4,Sports,Take-Two Interactive,0.41,0.6,0.0,0.19,1.2,2010s,73.0,7.4
1676,Dragon Ball Z: La Legende Saien,Super Nintendo Entertainment System,Fighting,Namco Bandai Games,0.0,0.0,1.2,0.0,1.2,1990s,Unknown,Unknown
1677,TwinBee,Nintendo Entertainment System,Shooter,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2,1980s,Unknown,Unknown
1678,Ganbare Goemon! Karakuri Douchuu,Nintendo Entertainment System,Platform,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2,1980s,Unknown,Unknown
1679,NFL 2K,Unknown,Sports,Sega,1.12,0.05,0.0,0.02,1.2,Unknown,Unknown,Unknown
1680,SolarStriker,Game Boy,Shooter,Nintendo,0.4,0.39,0.36,0.04,1.2,1980s,Unknown,Unknown
1681,Enter the Matrix,Xbox,Action,Atari,0.72,0.43,0.01,0.04,1.2,2000s,65.0,7.1
1682,NHL 2002,PlayStation 2,Sports,Electronic Arts,0.59,0.46,0.0,0.15,1.2,2000s,92.0,8.5
1683,Mario vs. Donkey Kong 2: March of the Minis,Nintendo DS,Puzzle,Nintendo,0.74,0.03,0.36,0.07,1.2,2000s,76.0,7.9
1684,PokéPark Wii: Pikachu's Adventure,Nintendo Wii,Adventure,Nintendo,0.55,0.17,0.42,0.06,1.2,2000s,62.0,7.2
1685,One Piece: Pirate Warriors,PlayStation 3,Action,Namco Bandai Games,0.01,0.24,0.86,0.09,1.2,2000s,64.0,6.5
1686,WWE 2K14,PlayStation 3,Sports,Take-Two Interactive,0.49,0.49,0.0,0.21,1.19,2000s,74.0,7.5
1687,Metal Gear Solid: Portable Ops,PlayStation Portable,Action,Konami Digital Entertainment,0.38,0.35,0.38,0.09,1.19,2000s,87.0,8.2
1688,Nuclear Strike,PlayStation,Simulation,Electronic Arts,0.66,0.45,0.0,0.08,1.19,1990s,Unknown,Unknown
1689,Captain Toad: Treasure Tracker,Wii U,Puzzle,Nintendo,0.56,0.36,0.19,0.09,1.19,2010s,81.0,8.6
1690,WWE SmackDown vs Raw 2008,PlayStation Portable,Fighting,THQ,0.45,0.47,0.0,0.28,1.19,2000s,68.0,7.8
1691,The Simpsons: Road Rage,Game Boy Advance,Racing,THQ,0.86,0.32,0.0,0.02,1.19,2000s,55.0,6.8
1692,Pro Evolution Soccer 2008,Nintendo Wii,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19,2000s,83.0,8.4
1693,SpongeBob SquarePants: Revenge of the Flying Dutchman,Game Boy Advance,Platform,THQ,0.92,0.23,0.0,0.04,1.19,2000s,71.0,7.7
1694,Mario & Sonic at the London 2012 Olympic Games,Nintendo 3DS,Sports,Sega,0.18,0.64,0.27,0.1,1.19,2010s,Unknown,Unknown
1695,Scarface: The World is Yours,PlayStation 2,Action,Vivendi Games,0.99,0.04,0.0,0.16,1.19,2000s,75.0,8.6
1696,Kobe Bryant in NBA Courtside,Nintendo 64,Sports,Nintendo,1.02,0.13,0.04,0.01,1.19,1990s,Unknown,Unknown
1697,Disney's Chip 'n Dale: Rescue Rangers,Nintendo Entertainment System,Platform,Capcom,0.68,0.14,0.35,0.02,1.19,1980s,Unknown,Unknown
1698,The Dukes of Hazzard: Racing for Home,PlayStation,Racing,Ubisoft,0.99,0.16,0.0,0.04,1.19,1990s,Unknown,Unknown
1699,Hitman 2: Silent Assassin,Xbox,Action,Eidos Interactive,0.76,0.38,0.0,0.05,1.19,2000s,84.0,8
1700,FIFA 14,Xbox One,Sports,Electronic Arts,0.41,0.66,0.0,0.12,1.19,2010s,88.0,5.8
1701,Spider-Man: The Movie,GameCube,Action,Activision,0.86,0.27,0.01,0.04,1.19,2000s,76.0,7.3
1702,Final Fantasy I & II: Dawn of Souls,Game Boy Advance,Role-Playing,Nintendo,0.64,0.24,0.29,0.02,1.19,2000s,Unknown,Unknown
1703,NBA 2K17,PlayStation 4,Sports,Take-Two Interactive,0.83,0.14,0.0,0.22,1.19,2010s,88.0,6.7
1704,Pokemon Super Mystery Dungeon,Nintendo 3DS,Role-Playing,Nintendo,0.46,0.31,0.33,0.08,1.19,2010s,69.0,8.8
1705,Just Dance 4,Xbox 360,Misc,Ubisoft,0.9,0.2,0.0,0.08,1.19,2000s,77.0,7.7
1706,Metal Gear Solid VR Missions,PlayStation,Adventure,Konami Digital Entertainment,0.66,0.45,0.0,0.08,1.18,1990s,Unknown,Unknown
1707,Pole Position,Atari 2600,Racing,Atari,1.1,0.07,0.0,0.01,1.18,1970s,Unknown,Unknown
1708,Resident Evil: Operation Raccoon City,PlayStation 3,Action,Capcom,0.48,0.25,0.36,0.1,1.18,2000s,52.0,4.9
1709,LEGO Indiana Jones: The Original Adventures,PlayStation Portable,Action,LucasArts,0.4,0.49,0.0,0.29,1.18,2000s,76.0,7.6
1710,Pro Yakyuu Family Stadium '88,Nintendo Entertainment System,Sports,Namco Bandai Games,0.1,0.0,1.08,0.0,1.18,1980s,Unknown,Unknown
1711,Shenmue,Unknown,Adventure,Sega,0.52,0.24,0.38,0.04,1.18,Unknown,88.0,9.4
1712,Mario Tennis,Game Boy,Sports,Nintendo,0.5,0.18,0.44,0.06,1.18,1980s,Unknown,Unknown
1713,Tony Hawk's Pro Skater 2,Game Boy Advance,Sports,Activision,0.85,0.31,0.0,0.02,1.18,2000s,95.0,7.5
1714,WWE '12,PlayStation 3,Fighting,THQ,0.53,0.46,0.02,0.17,1.18,2000s,72.0,6.9
1715,WWE SmackDown vs. Raw 2010,PlayStation 3,Fighting,THQ,0.48,0.49,0.01,0.2,1.18,2000s,81.0,8.1
1716,Plants vs. Zombies,Nintendo DS,Strategy,Mastertronic,0.95,0.15,0.0,0.08,1.18,2000s,81.0,7.4
1717,Sonic the Hedgehog,PlayStation 3,Platform,Sega,0.41,0.07,0.04,0.66,1.18,2000s,43.0,4.1
1717,Sonic the Hedgehog,PlayStation 3,Platform,Sega,0.41,0.07,0.04,0.66,1.18,2000s,43.0,4.1
1718,Super Ghouls 'n Ghosts,Super Nintendo Entertainment System,Platform,Capcom,0.5,0.14,0.52,0.02,1.18,1990s,Unknown,Unknown
1719,Spore,PC,Strategy,Electronic Arts,0.03,1.06,0.0,0.09,1.17,Multi-decade,84.0,5.3
1720,Soviet Strike,PlayStation,Simulation,Electronic Arts,0.65,0.44,0.0,0.08,1.17,1990s,Unknown,Unknown
1721,Your Shape: Fitness Evolved 2012,Xbox 360,Sports,Ubisoft,0.7,0.37,0.0,0.1,1.17,2000s,77.0,7.6
1722,Army of Two,PlayStation 3,Shooter,Electronic Arts,0.74,0.26,0.02,0.15,1.17,2000s,74.0,7.3
1723,Gun,PlayStation 2,Shooter,Activision,0.98,0.04,0.0,0.16,1.17,2000s,77.0,8.7
1724,Ty the Tasmanian Tiger,PlayStation 2,Platform,Electronic Arts,0.57,0.45,0.0,0.15,1.17,2000s,70.0,8.8
1725,Wario Land: Shake It!,Nintendo Wii,Platform,Nintendo,0.6,0.31,0.15,0.11,1.17,2000s,Unknown,Unknown
1726,Sonic Rush Adventure,Nintendo DS,Platform,Sega,0.54,0.49,0.01,0.12,1.17,2000s,78.0,8.2
1727,Medal of Honor: Warfighter,Xbox 360,Action,Electronic Arts,0.58,0.47,0.01,0.1,1.17,2000s,53.0,5.4
1728,Mega Man 3,Nintendo Entertainment System,Platform,Capcom,0.68,0.1,0.39,0.0,1.17,1980s,Unknown,Unknown
1729,Ratchet & Clank (2016),PlayStation 4,Platform,Sony Computer Entertainment,0.32,0.64,0.04,0.18,1.17,2010s,Unknown,Unknown
1730,Mission: Impossible,Nintendo 64,Action,Ocean,0.74,0.38,0.02,0.03,1.17,1990s,Unknown,Unknown
1731,Romancing SaGa 2,Super Nintendo Entertainment System,Role-Playing,SquareSoft,0.0,0.0,1.17,0.0,1.17,1990s,Unknown,Unknown
1732,Cabela's Dangerous Hunts,PlayStation 2,Sports,Zoo Digital Publishing,0.57,0.45,0.0,0.15,1.17,2000s,57.0,8.4
1733,Cool Boarders 4,PlayStation,Sports,989 Studios,0.65,0.44,0.0,0.08,1.17,1990s,Unknown,Unknown
1734,Rage Racer,PlayStation,Racing,Sony Computer Entertainment,0.16,0.11,0.83,0.08,1.17,1990s,Unknown,Unknown
1735,Medal of Honor: Rising Sun,Xbox,Shooter,Electronic Arts,0.76,0.36,0.0,0.05,1.17,2000s,65.0,5.8
1736,Football Manager 2013,PC,Sports,Sega,0.0,0.95,0.0,0.22,1.17,Multi-decade,86.0,6.7
1737,Destruction Derby 2,PlayStation,Racing,Psygnosis,0.65,0.44,0.0,0.08,1.17,1990s,Unknown,Unknown
1738,Mirror's Edge,Xbox 360,Platform,Electronic Arts,0.51,0.51,0.01,0.13,1.17,2000s,79.0,7.6
1739,Destiny: The Taken King,Xbox One,Shooter,Activision,0.82,0.23,0.0,0.11,1.17,2010s,89.0,5.2
1740,Mario vs. Donkey Kong,Game Boy Advance,Puzzle,Nintendo,0.68,0.25,0.21,0.02,1.17,2000s,81.0,8
1741,007: Quantum of Solace,PlayStation 3,Action,Activision,0.43,0.52,0.02,0.2,1.16,2000s,65.0,6.6
1742,EA Sports Active: More Workouts,Nintendo Wii,Sports,Electronic Arts,0.78,0.28,0.0,0.1,1.16,2000s,80.0,tbd
1743,Fallout: New Vegas,PC,Role-Playing,Bethesda Softworks,0.58,0.45,0.0,0.14,1.16,Multi-decade,84.0,8.6
1744,Need for Speed: Most Wanted,PlayStation Vita,Racing,Electronic Arts,0.38,0.52,0.01,0.25,1.16,2010s,Unknown,Unknown
1745,Final Fantasy Tactics: The War of the Lions,PlayStation Portable,Role-Playing,Square Enix,0.45,0.25,0.3,0.16,1.16,2000s,88.0,8
1746,Midnight Club 3: DUB Edition Remix,PlayStation 2,Racing,Take-Two Interactive,0.97,0.04,0.0,0.16,1.16,2000s,85.0,8.9
1747,Tom Clancy's Ghost Recon: Jungle Storm,PlayStation 2,Shooter,Ubisoft,0.57,0.44,0.0,0.15,1.16,2000s,70.0,6.3
1748,SingStar,PlayStation 3,Misc,Sony Computer Entertainment,0.45,0.58,0.0,0.13,1.16,2000s,82.0,5.9
1749,Bushido Blade,PlayStation,Fighting,Sony Computer Entertainment,0.39,0.27,0.43,0.08,1.16,1990s,83.0,7.9
1750,LEGO Star Wars III: The Clone Wars,Nintendo DS,Action,LucasArts,0.66,0.39,0.0,0.11,1.16,2000s,66.0,tbd
1751,NASCAR Thunder 2002,PlayStation 2,Racing,Electronic Arts,0.57,0.44,0.0,0.15,1.16,2000s,85.0,8.5
1752,Jet Force Gemini,Nintendo 64,Shooter,Nintendo,0.78,0.28,0.07,0.02,1.16,1990s,Unknown,Unknown
1753,Mega Man X,Super Nintendo Entertainment System,Platform,Capcom,0.57,0.08,0.5,0.01,1.16,1990s,Unknown,Unknown
1754,Yu-Gi-Oh! The Sacred Cards (American and Others sales),Game Boy Advance,Role-Playing,Konami Digital Entertainment,0.84,0.27,0.0,0.05,1.16,2000s,Unknown,Unknown
1755,Sega Rally Championship,Sega Saturn,Racing,Sega,0.21,0.16,0.77,0.02,1.16,1990s,Unknown,Unknown
1756,Test Drive: Off Road,PlayStation,Racing,Eidos Interactive,0.65,0.44,0.0,0.08,1.16,1990s,Unknown,Unknown
1757,Medal of Honor Heroes 2,PlayStation Portable,Shooter,Electronic Arts,0.5,0.39,0.02,0.25,1.16,2000s,69.0,7.3
1758,Sniper: Ghost Warrior,Xbox 360,Shooter,City Interactive,0.54,0.51,0.0,0.12,1.16,2000s,45.0,5.8
1759,Rocksmith,PlayStation 3,Misc,Ubisoft,0.52,0.38,0.09,0.17,1.16,2000s,80.0,8.3
1760,LEGO Star Wars: The Video Game,Xbox,Action,Eidos Interactive,0.83,0.28,0.0,0.05,1.16,2000s,Unknown,Unknown
1761,FIFA Soccer 10,PlayStation Portable,Sports,Electronic Arts,0.15,0.68,0.01,0.32,1.16,2000s,83.0,7.9
1762,Plants vs. Zombies: Garden Warfare,Xbox 360,Shooter,Electronic Arts,0.51,0.54,0.0,0.1,1.16,2000s,69.0,7.3
1763,Worldwide Soccer Manager 2009,PC,Simulation,Sega,0.0,1.14,0.0,0.01,1.15,Multi-decade,83.0,8.1
1764,Omerta: City of Gangsters,PlayStation 3,Simulation,Konami Digital Entertainment,0.52,0.46,0.0,0.17,1.15,2000s,Unknown,Unknown
1765,Gauntlet: Dark Legacy,PlayStation 2,Action,Midway Games,0.56,0.44,0.0,0.15,1.15,2000s,73.0,8.3
1766,Ninja Gaiden Sigma,PlayStation 3,Action,Eidos Interactive,0.57,0.33,0.09,0.16,1.15,2000s,88.0,7.5
1767,Bad Boys: Miami Takedown,PlayStation 2,Shooter,Empire Interactive,0.56,0.44,0.0,0.15,1.15,2000s,43.0,3.4
1768,Kaboom!,Atari 2600,Misc,Activision,1.07,0.07,0.0,0.01,1.15,1970s,Unknown,Unknown
1769,Red Dead Redemption: Undead Nightmare,PlayStation 3,Action,Take-Two Interactive,0.44,0.46,0.06,0.18,1.15,2000s,Unknown,7.4
1770,Sonic and the Black Knight,Nintendo Wii,Platform,Sega,0.69,0.35,0.01,0.11,1.15,2000s,54.0,6.9
1771,Call of Duty 4: Modern Warfare,PC,Shooter,Activision,0.0,1.12,0.0,0.03,1.15,Multi-decade,92.0,8.5
1772,Qix,Game Boy,Puzzle,Nintendo,0.51,0.2,0.41,0.03,1.15,1980s,Unknown,Unknown
1773,Derby Stallion III,Super Nintendo Entertainment System,Sports,ASCII Entertainment,0.0,0.0,1.15,0.0,1.15,1990s,Unknown,Unknown
1774,Doraemon,Nintendo Entertainment System,Action,Hudson Soft,0.0,0.0,1.15,0.0,1.15,1980s,Unknown,Unknown
1775,High School Musical 2: Work This Out!,Nintendo DS,Misc,Disney Interactive Studios,0.5,0.52,0.0,0.13,1.15,2000s,Unknown,Unknown
1776,Ratchet & Clank: All 4 One,PlayStation 3,Platform,Sony Computer Entertainment,0.75,0.22,0.05,0.12,1.15,2000s,Unknown,Unknown
1777,Donkey Konga,GameCube,Misc,Nintendo,0.5,0.16,0.46,0.03,1.15,2000s,76.0,8.3
1778,Fight Night Champion,PlayStation 3,Fighting,Electronic Arts,0.45,0.51,0.0,0.19,1.15,2000s,84.0,7.3
1779,Dragon Quest I & II,Super Nintendo Entertainment System,Role-Playing,Enix Corporation,0.0,0.0,1.15,0.0,1.15,1990s,Unknown,Unknown
1780,Tak and the Power of Juju,PlayStation 2,Platform,THQ,0.56,0.44,0.0,0.15,1.15,2000s,68.0,9
1781,Asteroids,PlayStation,Shooter,Success,0.64,0.43,0.0,0.07,1.15,1990s,Unknown,Unknown
1782,Puyo Puyo Sun Ketteiban,PlayStation,Puzzle,Compile,0.0,0.0,1.07,0.07,1.15,1990s,Unknown,Unknown
1783,Pokemon Rumble Blast,Nintendo 3DS,Action,Nintendo,0.47,0.26,0.35,0.07,1.14,2010s,56.0,7.1
1784,Action Bass,PlayStation,Action,Take-Two Interactive,0.64,0.43,0.0,0.07,1.14,1990s,51.0,tbd
1785,Tenchu: Wrath of Heaven,PlayStation 2,Action,Activision,0.44,0.34,0.25,0.11,1.14,2000s,79.0,8.4
1786,Shadow of the Colossus,PlayStation 2,Action,Sony Computer Entertainment,0.78,0.03,0.2,0.13,1.14,2000s,91.0,9.1
1787,Brave Fencer Musashi,PlayStation,Role-Playing,SquareSoft,0.25,0.17,0.65,0.07,1.14,1990s,81.0,8.5
1788,Hot Shots Golf: Out of Bounds,PlayStation 3,Sports,Sony Computer Entertainment,0.31,0.03,0.76,0.04,1.14,2000s,81.0,8.8
1789,Dance Dance Revolution Extreme 2,PlayStation 2,Simulation,Konami Digital Entertainment,0.95,0.04,0.0,0.16,1.14,2000s,76.0,9
1790,Mirror's Edge,PlayStation 3,Platform,Electronic Arts,0.31,0.59,0.02,0.22,1.14,2000s,79.0,7.8
1791,Rabbids Go Home,Nintendo Wii,Platform,Ubisoft,0.26,0.75,0.0,0.14,1.14,2000s,78.0,8.3
1792,South Park,Nintendo 64,Shooter,Acclaim Entertainment,0.9,0.23,0.0,0.02,1.14,1990s,Unknown,Unknown
1793,Commando,Nintendo Entertainment System,Action,Capcom,0.71,0.16,0.25,0.03,1.14,1980s,Unknown,Unknown
1794,Pilotwings,Super Nintendo Entertainment System,Simulation,Nintendo,0.46,0.17,0.48,0.02,1.14,1990s,Unknown,Unknown
1795,Resident Evil - Code: Veronica,Unknown,Action,Eidos Interactive,0.41,0.23,0.47,0.03,1.14,Unknown,Unknown,Unknown
1796,Super R.C. Pro-Am,Game Boy,Racing,Nintendo,0.58,0.37,0.15,0.04,1.14,1980s,Unknown,Unknown
1797,The Lord of the Rings: The Return of the King,Xbox,Action,Electronic Arts,0.71,0.38,0.0,0.05,1.14,2000s,84.0,9.1
1798,LEGO Star Wars: The Video Game,Game Boy Advance,Action,Eidos Interactive,0.82,0.3,0.0,0.02,1.14,2000s,Unknown,Unknown
1799,Royal Palace of White Sword and The City of Gentiles,PlayStation 2,Role-Playing,Take-Two Interactive,0.0,0.51,0.0,0.62,1.14,2000s,Unknown,Unknown
1800,Guitar Hero 5,Xbox 360,Misc,Activision,0.65,0.37,0.0,0.11,1.14,2000s,85.0,6.8
1801,Mobile Suit Gundam: Federation vs. Zeon,PlayStation 2,Simulation,Atari,0.12,0.1,0.88,0.03,1.14,2000s,73.0,8.8
1802,Need for Speed Underground 2,GameCube,Racing,Electronic Arts,0.7,0.39,0.01,0.03,1.14,2000s,Unknown,Unknown
1803,MechAssault,Xbox,Simulation,Microsoft Game Studios,1.01,0.1,0.0,0.03,1.13,2000s,87.0,8
1804,ModNation Racers,PlayStation 3,Racing,Sony Computer Entertainment,0.5,0.41,0.06,0.16,1.13,2000s,82.0,8.4
1805,LEGO Star Wars III: The Clone Wars,Nintendo 3DS,Action,LucasArts,0.61,0.43,0.0,0.09,1.13,2010s,67.0,6.1
1806,Derby Stallion 99,PlayStation,Sports,ASCII Entertainment,0.0,0.0,1.06,0.07,1.13,1990s,Unknown,Unknown
1807,Cars,Game Boy Advance,Racing,THQ,0.81,0.3,0.0,0.02,1.13,2000s,50.0,4.7
1808,Fantasy Life,Nintendo 3DS,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13,2010s,73.0,8.6
1809,Tom Clancy's Rainbow Six 3: Black Arrow,Xbox,Shooter,Ubisoft,0.99,0.12,0.0,0.02,1.13,2000s,84.0,8.6
1810,WWE 2K15,PlayStation 4,Sports,Take-Two Interactive,0.38,0.56,0.0,0.19,1.13,2010s,62.0,5.1
1811,Donkey Kong,Nintendo Entertainment System,Platform,Nintendo,0.23,0.05,0.84,0.01,1.13,1980s,Unknown,Unknown
1812,Jampack Winter '98,PlayStation,Misc,Sony Computer Entertainment,0.63,0.43,0.0,0.07,1.13,1990s,Unknown,Unknown
1813,WWE 2K14,Xbox 360,Sports,Take-Two Interactive,0.64,0.39,0.0,0.1,1.13,2000s,75.0,7.7
1814,Alien: Isolation,PlayStation 4,Shooter,Sega,0.34,0.56,0.04,0.19,1.13,2010s,79.0,8.1
1815,Yakuza 3,PlayStation 3,Action,Sega,0.21,0.21,0.62,0.08,1.13,2000s,79.0,8.1
1816,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),Game Boy Advance,Role-Playing,Nintendo,0.81,0.3,0.0,0.02,1.13,2000s,Unknown,Unknown
1817,The Beatles: Rock Band,PlayStation 3,Misc,MTV Games,0.67,0.3,0.0,0.15,1.13,2000s,88.0,8.7
1818,Dragon Age II,Xbox 360,Action,Electronic Arts,0.72,0.3,0.01,0.09,1.12,2000s,79.0,4.5
1819,Moon Patrol,Atari 2600,Shooter,Atari,1.05,0.06,0.0,0.01,1.12,1970s,Unknown,Unknown
1820,Supercar Street Challenge,PlayStation 2,Racing,Activision,0.55,0.43,0.0,0.14,1.12,2000s,57.0,7.6
1821,Pilotwings 64,Nintendo 64,Simulation,Nintendo,0.56,0.24,0.3,0.02,1.12,1990s,Unknown,Unknown
1822,Crackdown 2,Xbox 360,Shooter,Microsoft Game Studios,0.63,0.37,0.02,0.1,1.12,2000s,70.0,6
1823,Final Fantasy XIV: A Realm Reborn,PlayStation 3,Role-Playing,Square Enix,0.36,0.33,0.28,0.15,1.12,2000s,Unknown,Unknown
